,mape,mae,mse,r2,time_step,filters,kernel_size,unit_num,pool_size,attention_units,input_feature
0,0.05483721209471511,3.8360465116279046,32.234746511627876,-11.917567444617063,20,32,4,16,2,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05408706037175526,3.7758139534883717,33.41393953488369,-40.273410269856754,20,32,4,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05064427656327146,3.5072093023255815,33.741597674418585,-50.64839516168406,20,32,4,16,2,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.050683040695995045,3.5141860465116284,32.86900697674417,-64.78507750163266,20,32,4,16,4,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05483721209471511,3.8360465116279046,32.234746511627876,-11.917567444617063,20,32,4,16,2,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05408706037175526,3.7758139534883717,33.41393953488369,-40.273410269856754,20,32,4,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05064427656327146,3.5072093023255815,33.741597674418585,-50.64839516168406,20,32,4,16,2,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.050683040695995045,3.5141860465116284,32.86900697674417,-64.78507750163266,20,32,4,16,4,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.0492001710506857,3.396279069767441,32.09952093023253,-120.57220857355098,20,32,4,16,4,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05219814924731131,3.62139534883721,33.19268837209301,-101.07553152280492,20,32,4,16,4,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.050311295083489666,3.418372093023254,38.085886046511604,-36.34927115654015,20,32,4,32,2,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05803640209162163,3.8741860465116273,43.88111395348835,-36.82037529050664,20,32,4,32,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.04561213698897385,3.167441860465115,30.32364651162788,-36.03328941877563,20,32,4,32,2,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.04720581600026391,3.2299999999999995,33.852360465116256,-145.9803313203073,20,32,4,32,4,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05064986349721031,3.512790697674419,32.45796976744184,-18.589197606763694,20,32,4,32,4,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.052031647663568784,3.615581395348838,34.11727209302324,-24.554363004714443,20,32,4,32,4,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05206045403604034,3.5741860465116257,35.314853488372066,-47.61989024085687,20,32,4,64,2,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05118115403611359,3.491860465116277,38.00619302325578,-37.376571562756865,20,32,4,64,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05004250687471148,3.420232558139533,35.16393255813949,-30.2766222441065,20,32,4,64,2,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05707175656895084,4.0886046511627905,27.123193023255798,-28.0271075376461,20,32,4,64,4,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.054938938707448357,3.8574418604651153,32.506537209302294,-38.95602068673104,20,32,4,64,4,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05714182890444475,4.06488372093023,30.777909302325575,-11.52665966421331,20,32,4,64,4,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.062398920263429525,4.380465116279068,39.0183302325581,-19.205722710582766,20,32,8,16,2,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.049890744335782465,3.456976744186046,32.53781627906974,-32.18618348661103,20,32,8,16,2,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.050188405416916125,3.4839534883720917,32.13192790697672,-117.33038436504397,20,32,8,16,2,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.05205260584759025,3.6118604651162793,34.09342558139533,-32.23118331095023,20,32,8,16,4,32,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.051828018033771586,3.6109302325581383,32.16891860465114,-51.31299965541158,20,32,8,16,4,64,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
0,0.04500794513444241,3.0946511627906963,31.375234883720903,-69.63176795136131,20,32,8,16,4,128,Course_sin_Course_cos_Speed_Altitude_Ratio_BarometricPressure_RelativeHumidity_Wind_Temperature_Interaction_day_cycle_sin_day_cycle_cos_year_cycle_sin_year_cycle_cos_minute_cycle_sin_minute_cycle_cos_second_cycle_sin_second_cycle_cos_Distance_Model_Frequency_Model_Rareness
