longitude,latitude,altitude,speed,dateTime,direction,flight_number,监测站点,Leq,SEL,Lmax,所属气象站点,WindSpeed,WindDirection,Temperature,AirPressure,RelativeHumidity,Precipitation
106.61962687969208,29.65659499168396,20.0,1.0,2025-01-09 00:09:50,1.0,G54262,金丝燕制衣厂,67.2,80.42,72.0,3.0,0.226,7.001,7.705,992.088,88.257,10.596
106.62488400936128,29.67080533504486,17.5,1.0,2025-01-09 01:33:57,1.0,PN6262,邮政中心局,69.77,80.91,75.8,2.0,0.301,200.001,6.614,980.722,90.975,18.108
106.6219711303711,29.662442207336422,19.0,1.0,2025-01-09 01:38:54,1.0,3U8062,联合技工学校,68.42,81.64,72.8,3.0,0.228,7.001,7.658,992.01,88.373,10.596
106.62104308605194,29.660162329673767,19.0,1.0,2025-01-09 01:50:02,1.0,PN6230,联合技工学校,67.53,80.08,72.3,3.0,0.23,7.001,7.607,991.902,88.499,10.596
106.62198185920715,29.66258704662323,19.0,1.0,2025-01-09 01:53:02,1.0,PN6438,联合技工学校,67.29,79.84,71.8,3.0,0.234,7.001,7.552,991.746,88.616,10.597
106.62535071372986,29.67222690582276,17.0,1.0,2025-01-09 01:53:18,1.0,PN6438,邮政中心局,69.83,81.87,75.5,2.0,0.309,200.001,6.522,980.618,91.279,18.103
106.62503957748412,29.671443700790405,17.25,1.0,2025-01-09 02:17:49,1.0,GS6592,邮政中心局,70.41,81.55,76.8,2.0,0.323,200.001,6.4,980.46,91.714,18.097
106.62039399147034,29.657641053199768,19.5,1.0,2025-01-09 02:20:29,1.0,CA4384,金丝燕制衣厂,69.28,80.07,75.9,3.0,0.243,7.001,7.498,991.502,88.641,10.598
106.62534534931184,29.67232346534729,16.75,1.0,2025-01-09 02:20:53,1.0,CA4384,邮政中心局,70.66,82.7,76.2,2.0,0.352,200.001,6.227,980.198,92.376,18.09
106.62064611911774,29.658461809158325,19.75,1.0,2025-01-09 03:59:59,1.0,OQ2394,金丝燕制衣厂,67.81,80.12,73.7,3.0,0.26,7.001,7.479,991.203,88.368,10.6
106.62389159202576,29.6682733297348,17.5,1.0,2025-01-09 06:28:06,1.0,O37442,邮政中心局,74.75,86.51,80.9,2.0,0.403,200.002,6.032,979.875,93.111,18.085
106.65745675563812,29.766029119491577,28.0,1.0,2025-01-09 07:02:44,1.0,HU7342,重庆空港工业园区管委会,66.16,78.46,72.4,3.0,0.208,7.001,7.376,991.589,89.851,10.596
106.64981245994568,29.74280655384064,19.5,1.0,2025-01-09 07:22:11,1.0,3U8781,重庆经济建设职业技术学院,72.79,87.1,78.7,1.0,0.066,7.003,6.6,986.342,91.036,15.161
106.66551947593688,29.787733554840088,44.25,1.0,2025-01-09 07:27:39,1.0,G52875,龚家湾,87.67,105.52,87.7,3.0,0.208,7.001,7.376,991.589,89.851,10.596
106.67963325977324,29.767021536827087,26.5,1.0,2025-01-09 07:34:30,1.0,OQ2341,保税港观月小区,69.43,84.34,73.5,3.0,0.208,7.001,7.376,991.589,89.851,10.596
106.62487864494324,29.670934081077576,16.75,1.0,2025-01-09 07:59:18,1.0,9H8333,邮政中心局,70.93,82.69,77.6,2.0,0.276,200.0,6.234,979.994,92.844,18.08
106.62018477916718,29.657227993011475,19.5,1.0,2025-01-09 08:30:44,1.0,G54180,金丝燕制衣厂,69.17,82.18,74.9,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62018477916718,29.657227993011475,19.5,1.0,2025-01-09 08:30:44,1.0,G54180,金丝燕制衣厂,69.17,82.18,74.9,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62189066410065,29.66212570667267,18.25,1.0,2025-01-09 08:30:52,1.0,G54180,联合技工学校,67.35,81.33,72.6,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62189066410065,29.66212570667267,18.25,1.0,2025-01-09 08:30:52,1.0,G54180,联合技工学校,67.35,81.33,72.6,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62521123886108,29.671872854232788,16.5,1.0,2025-01-09 08:31:08,1.0,G54180,邮政中心局,70.32,82.08,76.9,2.0,0.234,200.0,6.433,981.177,91.193,18.095
106.62521123886108,29.671872854232788,16.5,1.0,2025-01-09 08:31:08,1.0,G54180,邮政中心局,70.32,82.08,76.9,2.0,0.234,200.0,6.433,981.177,91.193,18.095
106.65389478206636,29.742683172225952,18.25,1.0,2025-01-09 08:31:35,1.0,G54009,保税港观月小区,69.09,82.71,74.8,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62200331687929,29.66266751289368,18.25,1.0,2025-01-09 08:33:26,1.0,9C8613,联合技工学校,68.03,80.59,73.8,3.0,0.245,7.001,7.515,992.787,88.23,10.594
106.62529706954956,29.672124981880188,16.5,1.0,2025-01-09 08:37:44,1.0,PN6290,邮政中心局,69.87,79.87,77.0,2.0,0.234,200.0,6.433,981.177,91.193,18.095
106.6558474302292,29.686898589134216,16.5,1.0,2025-01-09 09:03:42,1.0,OQ2356,马家寺,66.85,79.86,72.8,2.0,0.305,200.002,6.782,981.063,88.218,18.08
106.61883294582368,29.654728174209595,19.25,1.0,2025-01-09 09:09:37,1.0,MU2903,金丝燕制衣厂,67.69,80.48,73.9,3.0,0.282,7.001,7.865,993.506,85.621,10.597
106.61883294582368,29.654728174209595,19.25,1.0,2025-01-09 09:09:37,1.0,MU2903,金丝燕制衣厂,67.69,80.48,73.9,3.0,0.282,7.001,7.865,993.506,85.621,10.597
106.65692567825316,29.68969345092773,15.5,1.0,2025-01-09 09:21:42,1.0,CA4354,长田村,69.6,80.74,76.4,2.0,0.305,200.002,6.782,981.063,88.218,18.08
106.65974736213684,29.69782054424286,14.0,1.0,2025-01-09 09:21:54,1.0,CA4354,诺富特酒店,65.95,68.96,77.5,2.0,0.305,200.002,6.782,981.063,88.218,18.08
106.65946304798126,29.761104583740234,29.25,1.0,2025-01-09 09:26:25,1.0,CZ3620,重庆空港工业园区管委会,68.91,82.33,75.3,3.0,0.282,7.001,7.865,993.506,85.621,10.597
