dateTime,Lon,Lat,Altitude,Speed,Vspeed,Course,监测站点,峰值时间,持续时间,Leq,SEL,Lmax,flight_number,Aircraft_model,SiteLon,SiteLat,SiteAltitude,AirTemperature,BarometricPressure,RelativeHumidity,WindSpeed,Distance,timestamp
2025-03-01 06:20:35,126.2669387,45.6602573,809.7,329.700711,8.0,332.331627,八里堡,6:20:49,25,63.3,69.32,72.8,3U3303,A320,126.289,45.651,0,-7.9,998.5,50.2,4.2,2161.360003515478,1740810035
2025-03-01 06:36:26,125.8945698,45.6524568,3995.2,547.255956,13.5,168.8645,半岛世家,6:36:40,24,65.47,78.02,70.6,MU5649,A320NEO,126.279,45.631,0,-8.0,998.6,50.7,3.5,30339.121307674523,1740810986
2025-03-01 07:07:11,125.672084,45.481293,5433.0,646.454123,8.0,219.06997,八里堡,7:07:40,36,69.12,78.15,78.1,MF8098,B738,126.289,45.651,0,-7.9,998.8,50.5,3.9,52028.410674682775,1740812831
2025-03-01 07:07:24,125.8689525,45.585952,3577.2,498.814397,13.0,118.69678,半岛世家,7:07:44,33,65.34,78.13,71.5,MF8098,B738,126.279,45.631,0,-7.9,998.8,50.5,3.8,32582.352661965066,1740812844
2025-03-01 07:36:17,125.9263221,45.7265979,3740.9,434.026485,9.6,192.604773,八里堡,7:36:31,33,69.95,78.4,78.3,HO1914,A321NEO,126.289,45.651,0,-7.7,999.0,49.2,3.7,29719.28251686209,1740814577
2025-03-01 07:37:30,126.1010317,45.6829774,2322.7,403.20116,8.9,227.206131,八里堡,7:37:44,31,58.52,58.52,84.3,LT4349,A321,126.289,45.651,0,-7.7,999.0,49.2,3.8,15253.380477833118,1740814650
2025-03-01 07:38:56,126.0701377,45.6932243,2820.4,470.270641,11.1,283.440459,徐家窝棚,7:38:59,47,74.21,74.21,84.3,LT4349,A321,126.259,45.656,161,-7.7,999.0,49.0,3.8,15519.081950366492,1740814736
2025-03-01 07:48:54,126.0415908,45.640973,3081.2,472.647887,10.7,211.825545,徐家窝棚,7:49:24,32,62.8,62.8,74.5,EU2795,ARJ21,126.259,45.656,161,-7.7,999.1,49.1,3.3,17282.466603389075,1740815334
2025-03-01 08:13:47,125.9504717,45.673577,2908.3,471.928876,8.9,184.127995,半岛世家,8:14:05,34,66.37,79.16,72.4,CZ6259,A333,126.279,45.631,0,-7.7,999.2,49.4,3.4,26209.145697192194,1740816827
2025-03-01 08:31:43,125.8364475,45.6852438,3729.2,524.02701,9.0,218.981599,苇塘沟屯,8:31:57,31,55.89,55.89,87.3,CZ6219,A333,126.279,45.661,0,-7.5,999.0,48.7,4.2,34798.41034480963,1740817903
