Lon,Lat,Altitude,dateTime,Leq,SEL,Lmax,Course,Aircraft_model
106.6196269,29.65659499,20,2025/1/9 0:09,67.2,80.42,72,7.001,C919
106.624884,29.67080534,17.5,2025/1/9 1:33,69.77,80.91,75.8,200.001,C919
106.6219711,29.66244221,19,2025/1/9 1:38,68.42,81.64,72.8,7.001,C919
106.6210431,29.66016233,19,2025/1/9 1:50,67.53,80.08,72.3,7.001,C919
106.6219819,29.66258705,19,2025/1/9 1:53,67.29,79.84,71.8,7.001,C919
106.6253507,29.67222691,17,2025/1/9 1:53,69.83,81.87,75.5,200.001,C919
106.6250396,29.6714437,17.25,2025/1/9 2:17,70.41,81.55,76.8,200.001,C919
106.620394,29.65764105,19.5,2025/1/9 2:20,69.28,80.07,75.9,7.001,C919
106.6253453,29.67232347,16.75,2025/1/9 2:20,70.66,82.7,76.2,200.001,C919
106.6206461,29.65846181,19.75,2025/1/9 3:59,67.81,80.12,73.7,7.001,C919
106.6238916,29.66827333,17.5,2025/1/9 6:28,74.75,86.51,80.9,200.002,C919
106.6574568,29.76602912,28,2025/1/9 7:02,66.16,78.46,72.4,7.001,C919
106.6498125,29.74280655,19.5,2025/1/9 7:22,72.79,87.1,78.7,7.003,C919
106.6655195,29.78773355,44.25,2025/1/9 7:27,87.67,105.52,87.7,7.001,C919
106.6796333,29.76702154,26.5,2025/1/9 7:34,69.43,84.34,73.5,7.001,C919
106.6248786,29.67093408,16.75,2025/1/9 7:59,70.93,82.69,77.6,200,C919
106.6201848,29.65722799,19.5,2025/1/9 8:30,69.17,82.18,74.9,7.001,C919
106.6201848,29.65722799,19.5,2025/1/9 8:30,69.17,82.18,74.9,7.001,C919
106.6218907,29.66212571,18.25,2025/1/9 8:30,67.35,81.33,72.6,7.001,C919
106.6218907,29.66212571,18.25,2025/1/9 8:30,67.35,81.33,72.6,7.001,C919
106.6252112,29.67187285,16.5,2025/1/9 8:31,70.32,82.08,76.9,200,C919
106.6252112,29.67187285,16.5,2025/1/9 8:31,70.32,82.08,76.9,200,C919
106.6538948,29.74268317,18.25,2025/1/9 8:31,69.09,82.71,74.8,7.001,C919
106.6220033,29.66266751,18.25,2025/1/9 8:33,68.03,80.59,73.8,7.001,C919
106.6252971,29.67212498,16.5,2025/1/9 8:37,69.87,79.87,77,200,C919
106.6558474,29.68689859,16.5,2025/1/9 9:03,66.85,79.86,72.8,200.002,C919
106.6188329,29.65472817,19.25,2025/1/9 9:09,67.69,80.48,73.9,7.001,C919
106.6188329,29.65472817,19.25,2025/1/9 9:09,67.69,80.48,73.9,7.001,C919
106.6569257,29.68969345,15.5,2025/1/9 9:21,69.6,80.74,76.4,200.002,C919
106.6597474,29.69782054,14,2025/1/9 9:21,65.95,68.96,77.5,200.002,C919
106.659463,29.76110458,29.25,2025/1/9 9:26,68.91,82.33,75.3,7.001,C919
106.6551608,29.68478501,16.5,2025/1/9 10:00,68.55,80.31,75.4,200.001,C919
106.6570705,29.68977928,15.25,2025/1/9 10:02,68.17,79.31,74.9,200.001,C919
106.6218853,29.66216862,17.75,2025/1/9 10:24,68.13,80.17,75.2,7.001,C919
106.6245407,29.66996312,16.5,2025/1/9 10:27,70.75,83.06,77.4,200.001,C919
106.6195571,29.65548456,19.5,2025/1/9 13:32,69.78,81.24,77,7.001,C919
106.6796494,29.76484358,26.5,2025/1/9 14:21,68.15,82.92,72.4,7.001,C919
106.6512555,29.73485649,15.5,2025/1/9 14:34,71.5,80.53,80.4,7.003,C919
106.693731,29.8595953,65.5,2025/1/9 14:37,94.27,99.04,95.5,7.001,C919
106.6216922,29.661659,18.5,2025/1/9 14:45,67.73,81.54,72.7,7.001,C919
106.6252327,29.67186749,16.25,2025/1/9 14:45,70.88,82.34,77.3,200,C919
106.6856414,29.77921486,34,2025/1/14 9:51,70.75,77.74,78.4,7.003,C919
106.6522157,29.73790348,19.25,2025/1/14 9:53,71.21,82.67,78,7.003,C919
106.6642964,29.77323353,36.25,2025/1/14 9:56,67.71,82.02,71.7,7.003,C919
106.6605574,29.76101875,31.75,2025/1/14 10:30,69.05,83.82,74.2,7,C919
106.6227597,29.66469526,17.75,2025/1/14 10:32,67.73,81.35,71.8,7,C919
106.625222,29.67191041,16.25,2025/1/14 10:32,69.24,81.01,75.7,200.002,C919
106.6505045,29.7332257,18.75,2025/1/14 10:32,69.04,82.65,74.4,7.002,C919
106.6318685,29.69116867,12.5,2025/1/14 10:40,66.58,79.37,73,200.002,C919
106.6561264,29.68701124,16.25,2025/1/14 10:48,68.78,81.57,74.7,200.002,C919
106.6578537,29.69203234,15.25,2025/1/14 10:48,69.69,81.15,76.2,200.002,C919
106.6197771,29.65592444,19.5,2025/1/14 10:50,69.41,82.2,75.7,7,C919
106.6511106,29.73490477,16,2025/1/14 10:58,69.63,82.42,75.5,7.002,C919
106.6566896,29.75040257,25,2025/1/14 11:01,69.03,83.01,74.6,7.002,C919
106.6633952,29.77003098,35.5,2025/1/14 11:01,67.7,80.93,72.5,7.002,C919
106.6673595,29.78136063,41,2025/1/14 11:02,67.4,80.41,73.1,7.002,C919
